W0730 15:40:58.418000 2727149 site-packages/torch/distributed/run.py:792] 
W0730 15:40:58.418000 2727149 site-packages/torch/distributed/run.py:792] *****************************************
W0730 15:40:58.418000 2727149 site-packages/torch/distributed/run.py:792] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0730 15:40:58.418000 2727149 site-packages/torch/distributed/run.py:792] *****************************************
[BlendedMVSDataset] 113 个场景 × 4, S∈[3,5], 452 个样本
batch shape: torch.Size([4, 5, 3, 224, 224]) (B=4, S=5)
参数数量: 21.3M
[BlendedMVSDataset] 113 个场景 × 4, S∈[3,5], 452 个样本
[BlendedMVSDataset] 113 个场景 × 4, S∈[3,5], 452 个样本
[BlendedMVSDataset] 113 个场景 × 4, S∈[3,5], 452 个样本
✅ Forward pass 成功! loss=1.396904, pred=torch.Size([20, 196, 768]), mask_rate=0.750
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Currently logged in as: 3222703726 (3222703726-huazhong-university-of-science-and-technology) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: creating run
wandb: Tracking run with wandb version 0.19.9
wandb: Run data is saved locally in /data/data_taohy/modelReShow/mum/wandb/run-20260730_154105-3lxp7m0h
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run mum_vit_small_S3-5_steps15k
wandb: ⭐️ View project at https://wandb.ai/3222703726-huazhong-university-of-science-and-technology/MuM
wandb: 🚀 View run at https://wandb.ai/3222703726-huazhong-university-of-science-and-technology/MuM/runs/3lxp7m0h
[BlendedMVSDataset] 113 个场景 × 4, S∈[3,5], 452 个样本
设备: cuda:0, GPU数: 4, 场景数: 113, 样本数: 452, S∈[3,5], AMP=bf16
有效 batch: 32, 总优化步数: 15000, warmup: 1000
模型: vit_small, norm_layer: layernormbf16
[step   3100/15000] loss=0.5760 | lr=9.46e-03 | 22.8s
[step   3150/15000] loss=0.5354 | lr=9.43e-03 | 21.8s
[step   3200/15000] loss=0.5444 | lr=9.40e-03 | 22.7s
[step   3250/15000] loss=0.5390 | lr=9.38e-03 | 22.8s
[step   3300/15000] loss=0.5316 | lr=9.35e-03 | 22.3s
[step   3350/15000] loss=0.5520 | lr=9.32e-03 | 23.1s
[step   3400/15000] loss=0.5292 | lr=9.29e-03 | 21.9s
[step   3450/15000] loss=0.5505 | lr=9.26e-03 | 22.9s
[step   3500/15000] loss=0.5572 | lr=9.23e-03 | 22.3s
[step   3550/15000] loss=0.5655 | lr=9.20e-03 | 22.6s
[step   3600/15000] loss=0.5257 | lr=9.17e-03 | 22.8s
  💾 Checkpoint → /data/data_taohy/modelReShow/mum/checkpoints/mum_0730-154103_step3600.pth
[step   3650/15000] loss=0.5449 | lr=9.14e-03 | 22.3s
[step   3700/15000] loss=0.5360 | lr=9.11e-03 | 22.8s
[step   3750/15000] loss=0.5434 | lr=9.08e-03 | 22.3s
[step   3800/15000] loss=0.5415 | lr=9.05e-03 | 22.6s
[step   3850/15000] loss=0.5612 | lr=9.01e-03 | 21.8s
[step   3900/15000] loss=0.5563 | lr=8.98e-03 | 22.9s
[step   3950/15000] loss=0.5166 | lr=8.94e-03 | 22.6s
[step   4000/15000] loss=0.5258 | lr=8.91e-03 | 22.3s
[step   4050/15000] loss=0.5520 | lr=8.87e-03 | 22.7s
[step   4100/15000] loss=0.5335 | lr=8.84e-03 | 22.4s
[step   4150/15000] loss=0.5699 | lr=8.80e-03 | 22.7s
[step   4200/15000] loss=0.5475 | lr=8.77e-03 | 21.8s
[step   4250/15000] loss=0.5141 | lr=8.73e-03 | 22.7s
[step   4300/15000] loss=0.5452 | lr=8.69e-03 | 22.6s
[step   4350/15000] loss=0.5613 | lr=8.65e-03 | 21.9s
[step   4400/15000] loss=0.5457 | lr=8.61e-03 | 22.6s
[step   4450/15000] loss=0.5050 | lr=8.57e-03 | 21.7s
[step   4500/15000] loss=0.5447 | lr=8.54e-03 | 22.6s
[step   4550/15000] loss=0.5434 | lr=8.50e-03 | 21.9s
[step   4600/15000] loss=0.5248 | lr=8.46e-03 | 23.2s
[step   4650/15000] loss=0.5501 | lr=8.41e-03 | 22.5s
[step   4700/15000] loss=0.5260 | lr=8.37e-03 | 22.0s
[step   4750/15000] loss=0.5239 | lr=8.33e-03 | 22.8s
[step   4800/15000] loss=0.5351 | lr=8.29e-03 | 22.4s
[step   4850/15000] loss=0.5453 | lr=8.25e-03 | 22.8s
[step   4900/15000] loss=0.5357 | lr=8.20e-03 | 21.7s
[step   4950/15000] loss=0.5192 | lr=8.16e-03 | 22.6s
[step   5000/15000] loss=0.5377 | lr=8.12e-03 | 22.5s
